title,video_id,views,likes,dislikes,duration_seconds,duration
Alia Pranked Me 😭 - Irfan's View,b_F8T-l_ZY8,166117,8317,0,807.0,PT13M27S
That Heavenly Feel - Beef பிரியாணியின் உமாமி🤤 #irfansview,k_Iw6iCldZ4,69633,5220,0,53.0,PT53S
Tejas Express Vs Vande Bharat Comparison - Irfan's View,-ztNB-BLb_w,230008,6329,0,983.0,PT16M23S
You know Whom to tag ❤️ Tag your friend who makes you feel this way🙌🏻🫂  #irfansview,BjdAwhFublM,611062,48724,0,46.0,PT46S
Fish Biriyani Date With Alia - Irfan's View ❤,Kf2M7OzslPc,254578,10585,0,788.0,PT13M8S
என்னா Taste - uh🤤🔥 #irfansview,Vhr3-GIqQnI,45809,3759,0,25.0,PT25S
Irfansview- னு சொன்னா Free T- Shirt அ 😱🔥,5PJD1t237OA,25070,1586,0,52.0,PT52S
ரோடு கடை A1 Beef Biriyani - Irfan's View,jDECOB4xvQ0,204908,7374,0,312.0,PT5M12S
எப்படி நம்ம புது Series - Worst ah😎🔥,_kqjQDbPxMc,28243,2480,0,43.0,PT43S
Spicy Shawai Grill Chicken - Irfan's View,ey4pgXJad4A,175392,6056,0,499.0,PT8M19S
கருகிப்போன KFC Chicken 🍗🥴#irfansview,FE9Yse1byaY,636595,57346,0,59.0,PT59S
Badly Rated Shawarma in Chennai | Worst ah Series EP 5 - Irfan's View,X6-PXj_cBMs,367927,11579,0,657.0,PT10M57S
பழைய Momos போட்ட Pizza - Bad Smell guys🤮🙏#irfansview,JEwDF6O0FN8,343333,15467,0,58.0,PT58S
Worst Fried Chicken in Chennai  | Worst ah Series EP 4 - Irfan's View,t9TMNwFbsXw,421842,12046,0,505.0,PT8M25S
குறுக்க இந்த ஈ வந்துட்டான் guys🙄#irfansview,apK_ynIGatw,96599,8342,0,49.0,PT49S
Badly Rated Burgers in Chennai | Worst ah Series EP 3 - Irfan's View,2tQHzmoCvS4,238848,8514,0,562.0,PT9M22S
Mosquito பிரியாணியா? 🙄🥲,9oD_8iNxwV4,201682,17093,0,53.0,PT53S
